datetime_utc,id,text,retweets,favorites
2016-11-20 11:44:00+00:00,800303776615854080,Numerous patriots will be coming to Bedminster today as I continue to fill out the various positions necessary to MAKE AMERICA GREAT AGAIN!,11182,56768
2016-11-20 13:26:00+00:00,800329364986626048,"I watched parts of @nbcsnl Saturday Night Live last night. It is a totally one-sided, biased show - nothing funny at all. Equal time for us?",12763,57090
2016-11-20 13:39:00+00:00,800332639844659201,"General James ""Mad Dog"" Mattis, who is being considered for Secretary of Defense, was very impressive yesterday. A true General's General!",17555,68518
2016-11-20 14:05:00+00:00,800339165829283840,I have always had a good relationship with Chuck Schumer. He is far smarter than Harry R and has the ability to get things done. Good news!,9329,46396
2016-11-21 23:58:00+00:00,800850810490023937,.@transition2017 update and policy plans for the first 100 days. https://t.co/HTgPXfPWeJ,33496,84745
2016-11-22 02:14:00+00:00,800885097775955974,Prior to the election it was well known that I have interests in properties all over the world.Only the crooked media makes this a big deal!,15220,65935
2016-11-22 02:22:00+00:00,800887087780294656,Many people would like to see @Nigel_Farage represent Great Britain as their Ambassador to the United States. He would do a great job!,17179,53239
2016-11-22 11:16:00+00:00,801021596228091905,I cancelled today's meeting with the failing @nytimes when the terms and conditions of the meeting were changed at the last moment. Not nice,13756,56321
2016-11-22 11:31:00+00:00,801025256487940096,Perhaps a new meeting will be set up with the @nytimes. In the meantime they continue to cover me inaccurately and with a nasty tone!,7439,31817
2016-11-22 11:36:00+00:00,801026635579424768,The failing @nytimes just announced that complaints about them are at a 15 year high. I can fully understand that - but why announce?,9314,40503
2016-11-22 11:46:00+00:00,801029194906038272,Great meetings will take place today at Trump Tower concerning the formation of the people who will run our government for the next 8 years.,13689,67595
2016-11-22 13:38:00+00:00,801057215226544128,"'President-elect Donald J. Trump's CIA Director Garners Praise'
https://t.co/UFdLWtwBEQ https://t.co/MrPaG7OziQ",6909,25733
2016-11-22 13:39:00+00:00,801057586162319360,"'Jeff Sessions, a Fitting Selection for Attorney General'
https://t.co/LjKTkAZSFy",8406,31223
2016-11-22 15:40:00+00:00,801087976889520128,The meeting with the @nytimes is back on at 12:30 today. Look forward to it!,5730,27948
2016-11-22 17:10:00+00:00,801110690387857408,I am seriously considering Dr. Ben Carson as the head of HUD. I've gotten to know him well--he's a greatly talented person who loves people!,21818,118437
2016-11-23 00:24:00+00:00,801219908910469120,Bus crash in Tennessee so sad & so terrible. Condolences to all family members and loved ones. These beautiful children will be remembered!,22444,112344
2016-11-24 02:17:00+00:00,801610648010575872,"Let us give thanks for all that we have, and let us boldly face the exciting new frontiers that lie ahead. Happy Th... https://t.co/RY9mGGjrXm",39786,142937
2016-11-24 03:30:00+00:00,801629061831331840,"Happy Thanksgiving to everyone. We will, together, MAKE AMERICA GREAT AGAIN!",38816,156773
2016-11-24 15:11:00+00:00,801805564577808385,"I am working hard, even on Thanksgiving, trying to get Carrier A.C. Company to stay in the U.S. (Indiana). MAKING PROGRESS - Will know soon!",24834,116629
2016-11-26 13:08:00+00:00,802499192237080576,Fidel Castro is dead!,77772,171957
2016-11-27 00:31:00+00:00,802671162383802368,The Green Party scam to fill up their coffers by asking for impossible recounts is now being joined by the badly defeated & demoralized Dems,24796,79364
2016-11-27 03:59:00+00:00,802723588759375873,"The Democrats, when they incorrectly thought they were going to win, asked that the election night tabulation be accepted. Not so anymore!",24559,82212
2016-11-27 12:19:00+00:00,802849330176659456,Hillary Clinton conceded the election when she called me just prior to the victory speech and after the results were in. Nothing will change,20980,79855
2016-11-27 12:55:00+00:00,802858273284255744,"Hillary's debate answer on delay: ""That is horrifying. That is not the way our democracy works. Been around for 240 years. We've had free --",8859,36072
2016-11-27 13:01:00+00:00,802859802749784064,"and fair elections. We've accepted the outcomes when we may not have liked them, and that is what must be expected of anyone standing on a -",7836,33568
2016-11-27 13:08:00+00:00,802861553905238017,"during a general election. I, for one, am appalled that somebody that is the nominee of one of our two major parties would take that kind --",7117,30962
2016-11-27 13:18:00+00:00,802864075822788608,"of position."" Then, separately she stated, ""He said something truly horrifying ... he refused to say that he would respect the results of --",7514,31929
2016-11-27 13:23:00+00:00,802865382490968064,"this election. That is a direct threat to our democracy."" She then said, ""We have to accept the results and look to the future, Donald --",9997,41044
2016-11-27 13:29:00+00:00,802866941820071937,"Trump is going to be our President. We owe him an open mind and the chance to lead."" So much time and money will be spent - same result! Sad",13619,61636
